run_id,n_agents,initial_li_equal,li_change_rate,schema_weight,claim_threshold,grant_threshold,mean_final_li,std_final_li,mean_final_fi,std_final_fi,time_to_li_stability,time_to_fi_stability,final_li_variance,final_fi_variance,mean_role_diff,max_role_diff,role_diff_variance,role_polarization,li_trend_slope,fi_trend_slope,li_trend_r2,fi_trend_r2,emergence_speed,leader_consistency,follower_consistency
experiment_20241211_144311_run_0066,6,True,0.3,0.5,0.6,0.4,0.5,0.0,0.5862104952735389,0.14862628418971155,0,0,0.0,0.022089772352040904,-0.08621049527353886,0.3938003173443628,0.022089772352040904,0.9392668535736912,0.0,0.0,0.0,0.0,0.0,1.0,1.0
experiment_20241211_144311_run_0031,4,False,0.1,0.5,0.6,0.4,0.5161428770883547,0.2920774952170445,0.5259114434712847,0.4755026448265162,1,100,0.08530926321226265,0.22610276523701203,-0.00976856638293,0.8963542261148612,0.4044781689858108,0.7314369419163895,5.49343990615346e-05,0.00041437431355610243,0.004677481366855766,0.3090970977720144,1.0,1.0,1.0
experiment_20241211_144311_run_0030,4,False,0.1,0.5,0.6,0.4,0.3380897307108607,0.39033445526543514,0.5728292297899131,0.43941217591853643,64,100,0.152360986967364,0.19308306034546283,-0.23473949907905242,0.9933248773215907,0.4680592586949007,0.7314369419163894,-0.0001620849635657159,-0.00036530643348794034,0.026766655602432503,0.27245720169748744,1.0,0.9848484848484849,1.0
experiment_20241211_144311_run_0088,6,False,0.1,0.7,0.6,0.4,0.450121051299557,0.27794109106136566,0.9131617452378281,0.19417624069566103,100,10,0.07725125010038236,0.03770441245069929,-0.46304069393827124,0.921966161958284,0.21045671902229027,0.8621678104251705,1.905027080500625e-05,0.0030300915824180916,0.046685439673057716,0.7540770296439886,1.0,1.0,0.9949494949494949
experiment_20241211_144311_run_0122,8,True,0.3,0.5,0.6,0.4,0.5,0.0,0.4331871471409803,0.3589013946918108,0,100,0.0,0.12881021111172697,0.0668128528590197,0.4998574700375922,0.12881021111172697,0.7830229881682913,0.0,0.0,0.0,0.0,0.0,1.0,1.0
experiment_20241211_144311_run_0067,6,True,0.3,0.5,0.6,0.4,0.5,0.0,0.6169366815740708,0.29586725423456084,0,100,0.0,0.08753743212829827,-0.11693668157407068,0.4994093803265266,0.08753743212829825,0.9392668535736913,0.0,0.0,0.0,0.0,0.0,1.0,1.0
experiment_20241211_144311_run_0134,8,True,0.5,0.7,0.6,0.4,0.5,0.0,0.5209252733603296,0.3210072536344338,0,100,0.0,0.1030456568859217,-0.020925273360329538,0.4693122606529718,0.1030456568859217,0.7830229881682912,0.0,0.0,0.0,0.0,0.0,1.0,1.0
experiment_20241211_144311_run_0071,6,True,0.3,0.7,0.6,0.4,0.5,0.0,0.4206619108463306,0.23615061810532834,0,100,0.0,0.05576711443152863,0.07933808915366934,0.45477342830782574,0.05576711443152863,0.6823163163486237,0.0,0.0,0.0,0.0,0.0,1.0,1.0
experiment_20241211_144311_run_0026,4,True,0.5,0.7,0.6,0.4,0.5,0.0,0.5812230057323395,0.30601658950072935,0,100,0.0,0.09364615304965788,-0.08122300573233951,0.47581758789852013,0.09364615304965788,0.9205976319760985,0.0,0.0,0.0,0.0,0.0,1.0,1.0
experiment_20241211_144311_run_0118,8,True,0.3,0.3,0.6,0.4,0.5,0.0,0.3691024824602062,0.12117267491650048,0,0,0.0,0.014682817146419905,0.13089751753979378,0.3413090986424332,0.014682817146419905,0.9620940702446923,0.0,0.0,0.0,0.0,0.0,1.0,1.0
experiment_20241211_144311_run_0159,8,False,0.5,0.7,0.6,0.4,0.4788545772564603,0.12752955730578897,0.5526324040302832,0.3748572954022932,3,100,0.01626378798661051,0.1405179919163221,-0.07377782677382286,0.5364619027160134,0.16123441730004903,0.7830229881682912,-0.00025315031503150316,4.7770367973116684e-05,0.10927351727978513,0.01455701242598814,1.0,0.9974747474747475,0.9962121212121213
experiment_20241211_144311_run_0084,6,False,0.1,0.5,0.6,0.4,0.2961834021061726,0.32889825459082384,0.5634379152728857,0.4546250435226412,100,100,0.10817406187289036,0.2066839301979634,-0.26725451316671306,0.9938239240313407,0.45712220295883793,0.9392668535736914,-0.00027506155879002836,0.002746067975713303,0.14474750473400247,0.8585032520311954,1.0,0.9949494949494949,0.9966329966329966
experiment_20241211_144311_run_0092,6,False,0.3,0.3,0.6,0.4,0.4546702161628115,0.08063593534734524,0.6666666666666666,0.4714045207910317,0,100,0.0065021540693412415,0.22222222222222224,-0.2119964505038552,0.6973979755250357,0.21898379503880697,0.8621678104251705,-0.001189918991899189,0.0010393516733307685,0.6084603818814062,0.3037304134946723,1.0,0.9983164983164983,0.9966329966329966
experiment_20241211_144311_run_0138,8,False,0.1,0.5,0.6,0.4,0.5299313480143749,0.2833989909196303,0.75,0.4330127018922193,0,100,0.08031498805426468,0.1875,-0.2200686519856251,0.8222365997633753,0.22118338134579513,0.5482928049865325,5.173014568290649e-06,0.003763174434940571,0.0001434912726068603,0.6564831222107655,1.0,0.9987373737373737,0.9936868686868687
experiment_20241211_144311_run_0051,4,False,0.5,0.7,0.6,0.4,0.4843332994002302,0.04118770765950283,0.6910544657418808,0.41042777793159385,1,100,0.0016964272622446684,0.1684509608978657,-0.20672116634165058,0.5652017755769217,0.20141677479498554,0.9205976319760982,-7.42574257425742e-05,-4.792254379324907e-06,0.029702970297029705,0.02970297029702941,1.0,0.9974747474747475,1.0
experiment_20241211_144311_run_0114,8,True,0.1,0.7,0.6,0.4,0.5,0.0,0.4677365300434172,0.3309376802815971,0,100,0.0,0.10951974823016458,0.03226346995658283,0.45493578009966296,0.10951974823016455,0.7314369419163897,0.0,0.0,0.0,0.0,0.0,1.0,1.0
experiment_20241211_144311_run_0006,4,True,0.1,0.7,0.6,0.4,0.5,0.0,0.6583574698619666,0.12614970395019687,0,0,0.0,0.015913747806722316,-0.1583574698619667,0.3631168051759368,0.015913747806722316,1.2134661099511599,0.0,0.0,0.0,0.0,0.0,1.0,1.0
experiment_20241211_144311_run_0143,8,False,0.1,0.7,0.6,0.4,0.2919549700310715,0.14278478068030942,0.6165092802482297,0.14313498154208615,0,0,0.020387493593924066,0.020487622941053343,-0.3245543102171582,0.7208344064003116,0.047922444410416376,0.7830229881682912,0.0,0.0,0.0,0.0,0.0,1.0,1.0
